city,state,hour,day_of_week,is_weekend,road_type,lanes,traffic_signal,weather,visibility,temperature,traffic_density,cause,vehicles_involved,is_peak_hour,accident_severity
Kolkata,West Bengal,0,Sunday,1,urban,4,0,clear,high,21,high,distraction,3,0,minor
Chandigarh,Punjab,3,Thursday,0,urban,1,1,fog,low,20,high,overspeeding,5,0,major
Delhi,Delhi,20,Tuesday,0,urban,5,1,clear,high,35,medium,distraction,2,0,fatal
Kolkata,West Bengal,17,Wednesday,0,highway,2,1,fog,low,40,low,distraction,1,1,minor
Pune,Maharashtra,5,Thursday,0,rural,3,0,fog,low,34,medium,overspeeding,3,0,major
Delhi,Delhi,9,Friday,0,rural,3,1,fog,low,30,low,poor road,3,1,minor
Chandigarh,Punjab,6,Friday,0,rural,2,1,clear,high,34,low,overspeeding,3,0,minor
Bangalore,Karnataka,15,Saturday,1,rural,4,1,clear,high,18,low,drunk driving,4,0,minor
Chennai,Tamil Nadu,3,Friday,0,rural,2,0,rain,low,34,medium,distraction,5,0,minor
Mumbai,Maharashtra,22,Monday,0,rural,5,1,rain,medium,38,low,overspeeding,4,0,major
Pune,Maharashtra,15,Wednesday,0,highway,3,0,clear,high,21,medium,drunk driving,1,0,major
Chennai,Tamil Nadu,12,Sunday,1,urban,2,0,clear,high,18,medium,poor road,4,0,fatal
Bangalore,Karnataka,4,Tuesday,0,rural,5,0,rain,low,23,low,distraction,4,0,fatal
Chandigarh,Punjab,14,Tuesday,0,urban,5,1,clear,high,36,low,drunk driving,5,0,major
Chandigarh,Punjab,15,Thursday,0,highway,4,1,clear,high,37,high,overspeeding,4,0,major
Hyderabad,Telangana,4,Thursday,0,rural,4,1,rain,low,37,low,overspeeding,2,0,minor
Kolkata,West Bengal,11,Monday,0,urban,4,0,clear,high,25,high,poor road,5,0,minor
Bangalore,Karnataka,3,Monday,0,rural,3,0,fog,low,34,low,overspeeding,3,0,major
Hyderabad,Telangana,16,Wednesday,0,rural,2,1,rain,low,28,high,distraction,5,0,minor
Kolkata,West Bengal,5,Friday,0,highway,6,0,rain,low,18,medium,drunk driving,1,0,major
Hyderabad,Telangana,2,Monday,0,urban,6,0,rain,medium,19,low,drunk driving,1,0,minor
Hyderabad,Telangana,22,Monday,0,urban,2,1,rain,low,32,medium,overspeeding,1,0,major
Chennai,Tamil Nadu,5,Wednesday,0,urban,4,1,rain,low,15,high,weather,5,0,major
Kolkata,West Bengal,22,Friday,0,urban,3,1,fog,low,36,medium,overspeeding,4,0,major
Kolkata,West Bengal,20,Monday,0,rural,5,1,clear,high,25,low,overspeeding,2,0,minor
Bangalore,Karnataka,21,Friday,0,rural,3,0,rain,low,39,low,distraction,2,0,fatal
Kolkata,West Bengal,15,Friday,0,highway,3,1,rain,low,37,high,distraction,2,0,major
Pune,Maharashtra,22,Saturday,1,rural,2,0,rain,medium,18,high,distraction,3,0,minor
Hyderabad,Telangana,4,Wednesday,0,highway,4,1,rain,low,34,medium,drunk driving,3,0,major
Hyderabad,Telangana,13,Friday,0,urban,6,0,rain,low,17,low,overspeeding,3,0,minor
Chandigarh,Punjab,10,Sunday,1,rural,2,1,clear,high,38,high,drunk driving,1,1,major
Mumbai,Maharashtra,2,Friday,0,rural,4,1,rain,low,33,low,poor road,4,0,minor
Chennai,Tamil Nadu,4,Tuesday,0,urban,5,1,rain,medium,16,low,distraction,5,0,minor
Kolkata,West Bengal,22,Saturday,1,urban,4,0,fog,low,20,medium,weather,3,0,minor
Delhi,Delhi,3,Wednesday,0,urban,5,0,fog,low,26,medium,drunk driving,2,0,minor
Kolkata,West Bengal,17,Sunday,1,rural,3,0,rain,medium,17,medium,distraction,1,1,minor
Pune,Maharashtra,5,Saturday,1,highway,6,0,fog,low,16,low,weather,1,0,fatal
Kolkata,West Bengal,17,Saturday,1,highway,5,0,clear,high,22,high,distraction,5,1,major
Delhi,Delhi,4,Monday,0,highway,2,0,clear,high,23,low,poor road,3,0,fatal
Chandigarh,Punjab,3,Tuesday,0,urban,6,0,rain,medium,22,low,weather,1,0,major
Pune,Maharashtra,23,Saturday,1,highway,6,1,clear,high,28,medium,distraction,4,0,minor
Chennai,Tamil Nadu,23,Wednesday,0,highway,3,1,rain,low,21,medium,weather,4,0,major
Chennai,Tamil Nadu,3,Friday,0,urban,6,1,rain,medium,33,low,poor road,3,0,fatal
Mumbai,Maharashtra,18,Wednesday,0,highway,2,0,rain,medium,30,high,distraction,1,1,minor
Chennai,Tamil Nadu,0,Monday,0,rural,4,1,rain,low,37,high,poor road,5,0,major
Delhi,Delhi,20,Tuesday,0,highway,3,0,rain,medium,26,high,poor road,1,0,minor
Bangalore,Karnataka,3,Tuesday,0,rural,2,1,rain,low,33,high,distraction,1,0,major
Chandigarh,Punjab,6,Monday,0,highway,3,0,rain,low,17,medium,poor road,1,0,minor
Kolkata,West Bengal,0,Monday,0,highway,4,1,fog,low,19,low,distraction,4,0,major
Mumbai,Maharashtra,8,Sunday,1,rural,2,0,clear,high,29,medium,overspeeding,2,1,major
Chennai,Tamil Nadu,12,Saturday,1,highway,3,0,fog,low,27,low,distraction,5,0,major
Kolkata,West Bengal,9,Tuesday,0,highway,6,1,clear,high,17,medium,poor road,2,1,major
Mumbai,Maharashtra,12,Thursday,0,urban,1,0,rain,low,29,high,drunk driving,4,0,major
Mumbai,Maharashtra,20,Sunday,1,rural,4,1,clear,high,26,medium,weather,5,0,minor
Pune,Maharashtra,18,Friday,0,rural,3,1,fog,low,37,medium,drunk driving,4,1,major
Hyderabad,Telangana,23,Sunday,1,urban,3,1,rain,medium,22,medium,weather,5,0,minor
Chennai,Tamil Nadu,8,Tuesday,0,urban,4,1,rain,medium,27,high,overspeeding,4,1,major
Chennai,Tamil Nadu,11,Friday,0,highway,3,0,clear,high,22,low,weather,3,0,major
Chandigarh,Punjab,23,Wednesday,0,urban,2,1,clear,high,16,medium,poor road,2,0,fatal
Kolkata,West Bengal,15,Friday,0,rural,5,0,fog,low,25,medium,drunk driving,2,0,minor
Hyderabad,Telangana,17,Friday,0,highway,4,0,rain,medium,16,low,poor road,5,1,major
Pune,Maharashtra,1,Wednesday,0,rural,2,1,fog,low,34,low,drunk driving,2,0,minor
Bangalore,Karnataka,3,Wednesday,0,highway,3,1,rain,medium,38,low,poor road,5,0,minor
Bangalore,Karnataka,6,Saturday,1,highway,5,1,clear,high,31,high,distraction,5,0,major
Kolkata,West Bengal,3,Monday,0,urban,5,0,rain,low,15,low,overspeeding,1,0,minor
Hyderabad,Telangana,10,Tuesday,0,urban,6,1,clear,high,39,high,poor road,5,1,minor
Delhi,Delhi,23,Wednesday,0,urban,4,1,fog,low,34,medium,overspeeding,3,0,major
Chandigarh,Punjab,0,Saturday,1,urban,5,1,rain,low,37,medium,poor road,5,0,minor
Chandigarh,Punjab,16,Sunday,1,rural,1,1,clear,high,36,medium,weather,4,0,fatal
Delhi,Delhi,7,Monday,0,urban,1,1,clear,high,23,low,weather,3,0,minor
Mumbai,Maharashtra,1,Monday,0,rural,3,1,clear,high,21,low,drunk driving,4,0,major
Mumbai,Maharashtra,22,Wednesday,0,highway,3,0,clear,high,37,high,weather,4,0,major
Mumbai,Maharashtra,23,Sunday,1,highway,6,1,clear,high,33,high,overspeeding,2,0,major
Kolkata,West Bengal,14,Monday,0,rural,3,0,clear,high,25,high,poor road,4,0,minor
Kolkata,West Bengal,11,Friday,0,urban,6,0,clear,high,28,medium,overspeeding,3,0,minor
Hyderabad,Telangana,20,Wednesday,0,urban,3,1,rain,medium,32,low,overspeeding,1,0,minor
Kolkata,West Bengal,0,Thursday,0,rural,4,1,rain,low,29,low,poor road,2,0,minor
Chandigarh,Punjab,17,Tuesday,0,rural,3,0,fog,low,17,high,distraction,5,1,minor
Bangalore,Karnataka,23,Friday,0,urban,6,1,clear,high,34,low,overspeeding,5,0,major
Hyderabad,Telangana,11,Monday,0,highway,4,0,rain,medium,34,low,poor road,4,0,minor
Kolkata,West Bengal,19,Friday,0,highway,2,0,clear,high,37,low,poor road,3,1,fatal
Chandigarh,Punjab,15,Sunday,1,rural,3,1,clear,high,22,low,poor road,3,0,fatal
Pune,Maharashtra,18,Sunday,1,rural,1,0,rain,low,34,medium,drunk driving,5,1,major
Chennai,Tamil Nadu,10,Saturday,1,urban,2,1,fog,low,38,high,poor road,1,1,minor
Pune,Maharashtra,22,Friday,0,highway,2,0,rain,medium,37,medium,distraction,4,0,minor
Chandigarh,Punjab,17,Thursday,0,highway,5,1,fog,low,30,high,poor road,2,1,major
Delhi,Delhi,3,Saturday,1,urban,2,1,fog,low,29,low,distraction,2,0,fatal
Mumbai,Maharashtra,11,Wednesday,0,rural,4,0,rain,low,21,high,weather,5,0,major
Hyderabad,Telangana,4,Tuesday,0,rural,3,0,fog,low,27,high,poor road,3,0,minor
Chandigarh,Punjab,12,Sunday,1,highway,6,0,clear,high,35,low,distraction,4,0,minor
Kolkata,West Bengal,2,Sunday,1,rural,5,0,rain,low,15,low,overspeeding,2,0,minor
Hyderabad,Telangana,20,Thursday,0,rural,3,1,clear,high,40,low,poor road,2,0,minor
Chandigarh,Punjab,21,Tuesday,0,highway,2,0,clear,high,33,medium,overspeeding,4,0,minor
Kolkata,West Bengal,7,Thursday,0,highway,6,0,rain,low,27,high,distraction,1,0,major
Bangalore,Karnataka,5,Wednesday,0,urban,2,1,rain,low,33,low,weather,5,0,minor
Pune,Maharashtra,12,Friday,0,rural,6,1,clear,high,35,high,weather,5,0,major
Bangalore,Karnataka,5,Monday,0,rural,1,1,fog,low,20,low,drunk driving,4,0,major
Mumbai,Maharashtra,4,Monday,0,rural,4,0,rain,medium,20,high,poor road,3,0,minor
Chandigarh,Punjab,17,Sunday,1,urban,4,1,clear,high,32,low,overspeeding,5,1,major
Delhi,Delhi,11,Tuesday,0,rural,6,1,rain,medium,22,high,drunk driving,4,0,major
Mumbai,Maharashtra,11,Saturday,1,highway,5,0,fog,low,17,high,distraction,1,0,minor
Chandigarh,Punjab,16,Tuesday,0,highway,3,0,clear,high,36,high,distraction,5,0,minor
Mumbai,Maharashtra,23,Wednesday,0,highway,5,0,clear,high,34,high,distraction,2,0,minor
Hyderabad,Telangana,16,Thursday,0,urban,3,0,fog,low,30,medium,weather,3,0,minor
Delhi,Delhi,0,Sunday,1,urban,4,1,clear,high,19,low,weather,4,0,minor
Bangalore,Karnataka,13,Wednesday,0,highway,6,0,rain,low,19,medium,distraction,3,0,minor
Mumbai,Maharashtra,3,Friday,0,highway,1,1,fog,low,31,low,weather,1,0,minor
Chandigarh,Punjab,2,Saturday,1,highway,5,1,clear,high,19,low,drunk driving,4,0,major
Chandigarh,Punjab,11,Thursday,0,highway,5,1,rain,low,15,low,drunk driving,5,0,major
Delhi,Delhi,0,Thursday,0,urban,5,0,rain,medium,32,low,weather,5,0,major
Chennai,Tamil Nadu,16,Sunday,1,rural,6,1,rain,medium,39,low,overspeeding,4,0,major
Chandigarh,Punjab,3,Wednesday,0,rural,5,0,rain,medium,37,low,poor road,2,0,fatal
Bangalore,Karnataka,21,Friday,0,highway,3,1,clear,high,19,medium,drunk driving,1,0,major
Chandigarh,Punjab,11,Tuesday,0,rural,5,0,rain,low,29,low,drunk driving,2,0,major
Hyderabad,Telangana,16,Monday,0,rural,1,0,rain,low,40,low,distraction,5,0,major
Delhi,Delhi,16,Tuesday,0,rural,4,1,fog,low,40,medium,distraction,2,0,minor
Hyderabad,Telangana,15,Wednesday,0,highway,1,1,rain,medium,40,low,overspeeding,3,0,major
Pune,Maharashtra,19,Saturday,1,rural,3,0,clear,high,36,medium,distraction,1,1,fatal
Hyderabad,Telangana,9,Monday,0,rural,2,1,fog,low,24,high,drunk driving,4,1,major
Chandigarh,Punjab,17,Friday,0,rural,3,1,fog,low,31,high,weather,1,1,major
Hyderabad,Telangana,10,Thursday,0,rural,2,1,fog,low,37,low,distraction,1,1,major
Bangalore,Karnataka,12,Thursday,0,urban,2,1,clear,high,31,medium,overspeeding,1,0,major
Chandigarh,Punjab,17,Thursday,0,highway,5,1,fog,low,19,high,distraction,2,1,minor
Bangalore,Karnataka,15,Saturday,1,urban,3,0,rain,low,20,low,distraction,4,0,fatal
Chandigarh,Punjab,15,Sunday,1,rural,6,1,fog,low,31,medium,poor road,5,0,major
Bangalore,Karnataka,17,Tuesday,0,highway,2,0,rain,low,35,high,weather,2,1,major
Pune,Maharashtra,6,Monday,0,urban,6,1,clear,high,15,medium,distraction,3,0,fatal
Delhi,Delhi,8,Saturday,1,rural,6,1,rain,medium,23,medium,distraction,2,1,minor
Bangalore,Karnataka,11,Wednesday,0,highway,4,1,fog,low,21,low,poor road,4,0,minor
Delhi,Delhi,16,Saturday,1,urban,5,1,clear,high,33,medium,weather,4,0,minor
Delhi,Delhi,14,Sunday,1,urban,5,1,clear,high,29,low,weather,4,0,minor
Bangalore,Karnataka,21,Sunday,1,rural,3,0,clear,high,23,low,overspeeding,3,0,minor
Kolkata,West Bengal,3,Thursday,0,rural,3,0,rain,low,34,low,poor road,2,0,fatal
Kolkata,West Bengal,9,Monday,0,rural,4,1,rain,low,34,high,weather,4,1,major
Chennai,Tamil Nadu,3,Tuesday,0,highway,5,1,clear,high,21,low,overspeeding,3,0,minor
Pune,Maharashtra,19,Tuesday,0,rural,4,0,clear,high,24,high,drunk driving,1,1,minor
Chandigarh,Punjab,18,Tuesday,0,urban,6,0,clear,high,25,medium,poor road,4,1,fatal
Mumbai,Maharashtra,14,Friday,0,highway,1,0,clear,high,35,low,weather,2,0,minor
Delhi,Delhi,17,Monday,0,rural,3,0,rain,low,16,high,overspeeding,3,1,major
Pune,Maharashtra,13,Monday,0,highway,5,1,fog,low,21,high,poor road,1,0,major
Delhi,Delhi,11,Sunday,1,highway,6,1,fog,low,21,medium,weather,2,0,major
Hyderabad,Telangana,0,Friday,0,urban,2,1,rain,medium,38,high,drunk driving,1,0,major
Chennai,Tamil Nadu,11,Saturday,1,urban,3,0,fog,low,20,low,drunk driving,3,0,major
Delhi,Delhi,21,Tuesday,0,urban,4,0,fog,low,31,high,weather,5,0,major
Kolkata,West Bengal,13,Thursday,0,urban,3,1,fog,low,31,high,poor road,1,0,minor
Chandigarh,Punjab,15,Saturday,1,highway,3,1,rain,low,30,high,drunk driving,5,0,major
Chennai,Tamil Nadu,8,Tuesday,0,highway,5,1,clear,high,33,high,poor road,2,1,major
Delhi,Delhi,17,Friday,0,highway,5,1,rain,medium,33,medium,weather,2,1,major
Kolkata,West Bengal,23,Friday,0,highway,6,1,clear,high,28,high,drunk driving,5,0,major
Kolkata,West Bengal,12,Sunday,1,highway,1,1,fog,low,27,high,distraction,4,0,minor
Hyderabad,Telangana,3,Tuesday,0,urban,5,0,rain,medium,26,low,distraction,4,0,minor
Mumbai,Maharashtra,7,Monday,0,urban,4,1,clear,high,26,high,distraction,5,0,fatal
Chennai,Tamil Nadu,11,Thursday,0,urban,6,0,rain,low,33,high,overspeeding,4,0,major
Chennai,Tamil Nadu,6,Tuesday,0,rural,3,0,clear,high,40,high,overspeeding,3,0,major
Hyderabad,Telangana,21,Tuesday,0,rural,1,0,fog,low,39,low,poor road,5,0,major
Chennai,Tamil Nadu,0,Monday,0,rural,1,1,fog,low,35,low,drunk driving,5,0,major
Chennai,Tamil Nadu,11,Tuesday,0,rural,2,1,clear,high,23,low,weather,1,0,fatal
Bangalore,Karnataka,3,Sunday,1,highway,4,1,clear,high,22,low,weather,4,0,minor
Delhi,Delhi,16,Monday,0,rural,4,1,rain,low,22,low,overspeeding,4,0,major
Delhi,Delhi,16,Saturday,1,urban,3,1,fog,low,36,high,poor road,2,0,minor
Kolkata,West Bengal,21,Saturday,1,rural,3,0,fog,low,15,high,distraction,2,0,minor
Chennai,Tamil Nadu,14,Saturday,1,highway,5,0,fog,low,34,medium,poor road,2,0,minor
Chennai,Tamil Nadu,18,Friday,0,rural,2,1,clear,high,18,high,overspeeding,5,1,major
Chennai,Tamil Nadu,22,Tuesday,0,rural,1,1,clear,high,37,high,drunk driving,1,0,minor
Bangalore,Karnataka,8,Sunday,1,highway,1,0,clear,high,27,high,drunk driving,1,1,minor
Hyderabad,Telangana,1,Wednesday,0,highway,6,1,fog,low,38,low,weather,1,0,major
Pune,Maharashtra,22,Thursday,0,urban,2,0,clear,high,31,low,drunk driving,5,0,major
Chandigarh,Punjab,17,Tuesday,0,rural,4,1,clear,high,39,high,poor road,2,1,fatal
Hyderabad,Telangana,8,Tuesday,0,rural,6,1,fog,low,28,medium,poor road,5,1,major
Delhi,Delhi,18,Wednesday,0,rural,4,1,clear,high,30,high,weather,3,1,minor
Mumbai,Maharashtra,20,Friday,0,urban,2,0,rain,medium,39,medium,weather,2,0,fatal
Kolkata,West Bengal,9,Monday,0,highway,1,1,fog,low,34,medium,poor road,1,1,minor
Mumbai,Maharashtra,0,Sunday,1,rural,5,1,clear,high,19,medium,overspeeding,5,0,major
Mumbai,Maharashtra,10,Sunday,1,rural,2,0,clear,high,33,medium,overspeeding,5,1,major
Chandigarh,Punjab,14,Sunday,1,urban,5,1,rain,medium,26,low,weather,2,0,minor
Hyderabad,Telangana,23,Monday,0,urban,4,0,clear,high,23,medium,overspeeding,3,0,minor
Delhi,Delhi,6,Wednesday,0,urban,6,1,rain,medium,39,medium,weather,2,0,minor
Delhi,Delhi,20,Wednesday,0,urban,1,1,rain,medium,33,low,weather,5,0,major
Kolkata,West Bengal,5,Friday,0,urban,4,1,rain,low,36,high,distraction,4,0,major
Chandigarh,Punjab,4,Monday,0,urban,1,1,rain,low,26,low,poor road,3,0,minor
Pune,Maharashtra,15,Tuesday,0,highway,6,0,clear,high,32,high,drunk driving,1,0,major
Chandigarh,Punjab,13,Friday,0,urban,3,1,clear,high,35,low,drunk driving,1,0,minor
